Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
69455.34375,71727.6875,68381.9296875,69991.8984375,40827113309
70744.953125,71546.0234375,68895.5078125,69452.7734375,34374900617
69892.828125,70913.09375,69076.65625,70744.796875,25230851763
69645.3046875,70355.4921875,69601.0625,69893.4453125,17130241883
71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373
69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352
65446.97265625,69708.3828125,64586.59375,69705.0234375,50705240709
65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367
68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442
67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056
68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809
69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369
71631.359375,72715.359375,69064.2421875,69362.5546875,37261432669
